,clusterName,clusterSize,f_score,precision,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,uuid
89,MG_ON,36286,0.7751656374,0.9037918516,1737335,1908,18362,17924,3,"['SLIT3', 'CRNDE', 'PCA3']","['EBF2', 'KANK4', 'SLIT3', 'WDR72', 'CRNDE', 'PCA3', 'NKAIN3', 'CLSTN2', 'DPP10', 'MIAT']",f9beb26q62ka
90,RPE,3372,0.9895575877,1.0,1772157,0,169,3203,2,"['BEST1', 'LINC00276']","['BEST1', 'LINC00276', 'COL8A1', 'RPE65', 'PLAC9', 'CLIC6', 'ATP10B', 'SLC6A13', 'ENPP2', 'PRDM16']",c05ydwzu6rzy
91,VG3,18452,0.9341180694,0.9789035206,1756763,314,3882,14570,2,"['LINC03000', 'NXPH1']","['SLC17A8', 'ENSG00000231772.5', 'BNC2', 'ENSG00000253693.1', 'LINC03000', 'NXPH1', 'SGCZ', 'PTPRT', 'GABRB2', 'ERBB4']",0lgvu2t6lecy
92,PG_ON,814,0.7554585153,0.9376693767,1774692,23,468,346,3,"['LINC01630', 'ARPP21', 'CRNDE']","['ENSG00000230258.6', 'LINC01630', 'IGFBP5', 'ARPP21', 'CRNDE', 'COL4A2', 'CHRNA2', 'ADRA1A', 'ADAMTS9-AS2', 'NR2F2-AS1']",vm051x3lgd2v
93,VIP,3168,0.7602386327,0.8168038112,1771938,423,1282,1886,2,"['SNTB1', 'RNF220']","['VIP', 'CBLN4', 'SNTB1', 'PLCXD3', 'RNF220', 'RMST', 'SERPINI1', 'L3MBTL4', 'NFIA-AS2', 'DACH2']",670ps9e345sh
94,OPN4,445,0.5418138987,0.9108910891,1775075,9,353,92,3,"['TGFA', 'LINC02217', 'CPA6']","['OPN4', 'TGFA', 'LINC00348', 'LINC02217', 'OPRM1', 'CPA6', 'RASGRP1', 'CHL1', 'CLSTN2', 'SYNE2']",uizd9yolwho6
95,PG_OFF,985,0.6623045005,0.7728119181,1774422,122,570,415,4,"['MGAT5B', 'C8orf34', 'STK32A', 'GALNT14']","['AIM2', 'MGAT5B', 'LGI1', 'C8orf34', 'STK32A', 'GALNT14', 'WWC1', 'KCNQ5', 'KCNIP1', 'SORCS3']",dm6ik3kowtxq
96,blue bipolar,2009,0.5871969875,0.8910714286,1773459,61,1510,499,2,"['SKOR2', 'PTPN3']","['SKOR2', 'GPC3', 'SLC7A11', 'LEMD1', 'PTPN3', 'GRM6', 'TRPM1', 'SORCS3', 'THSD7B', 'SGCD']",0rzlfbh9og7u
97,Rod,645279,0.994139862,0.9944178727,1126653,3597,4498,640781,1,['PDE6A'],"['NR2E3', 'ENSG00000257165.5', 'ENSG00000254951.7', 'PDE6G', 'PDE6A', 'SAG', 'PPEF2', 'AIPL1', 'CNGB1', 'PRPH2']",tcdd4bi6n0l4
98,diffuse bipolar 1,33754,0.7787172907,0.9891342202,1741619,156,19553,14201,2,"['LINC01091', 'NXPH2']","['KIT', 'ENSG00000278254.4', 'LINC01091', 'CHRNA7', 'NXPH1', 'NXPH2', 'LAMA3', 'CDH8', 'NETO1', 'TRPM1']",srpwyk6r2k81
99,diffuse bipolar 2,45356,0.7564335642,0.9388251313,1728915,1258,26050,19306,2,"['COL5A1', 'ENSG00000249803.6']","['COL5A1', 'ENSG00000249803.6', 'ENSG00000243004.7', 'DISC1', 'NFIB', 'ZPBP', 'GRIK1', 'ZNF804B', 'DGKB', 'NUP93']",vv17b7reqlor
100,diffuse bipolar 3a,9458,0.7948988037,0.9871525345,1766016,55,5232,4226,2,"['ENSG00000267109.1', 'SEMA3E']","['ENSG00000267109.1', 'LINC01798', 'IRX6', 'LINC01091', 'SEMA3E', 'EPHA3', 'ERBB4', 'REPS2', 'KCNH7', 'GRIK1']",gj2zz7dm0iks
101,diffuse bipolar 3b,24074,0.7061109911,0.8985279686,1750421,1034,14918,9156,2,"['ENSG00000242021.2', 'LINC01482']","['TPH1', 'ENSG00000242021.2', 'ENSG00000228933.8', 'ENSG00000251574.8', 'LINC01482', 'ENSG00000279240.1', 'C8orf34', 'ABCB1', 'DISC1', 'ABCA4']",lwdonzxctkhq
102,diffuse bipolar 4a,26778,0.8665655033,0.9508269508,1747865,886,9646,17132,2,"['LINC01915', 'ENSG00000258751.2']","['LINC01915', 'ENSG00000254607.3', 'LINC00470', 'TTR', 'ENSG00000258751.2', 'SOX6', 'GRM6', 'ZNF804B', 'NFIA-AS2', 'TRPM1']",812zhiqm19fg
103,diffuse bipolar 4b,2351,0.3939393939,0.3942759504,1771760,1418,1428,923,4,"['PRELID2', 'TJP2', 'NETO1', 'NFIA']","['PSG11-AS1', 'LINC00470', 'PRELID2', 'TJP2', 'NETO1', 'NFIA', 'ZNF804B', 'NOS1AP', 'KCNB2', 'PCDH7']",w1xvab0tcjt9
104,diffuse bipolar 5,37701,0.9122098222,0.9726351471,1737053,775,10155,27546,2,"['COL19A1', 'TRPM1']","['COL19A1', 'MYO16', 'KCNMB2', 'TRPM1', 'LINC01322', 'DGKB', 'PRKCA', 'HS3ST5', 'ST6GALNAC3', 'CACNA2D1']",9qu2rc3j0y99
105,diffuse bipolar 6,14221,0.6721406305,0.9902935606,1761267,41,10038,4183,2,"['SYK', 'ENSG00000275443.2']","['ENSG00000261502.4', 'SULT1C4', 'HERC5', 'SYK', 'DEPTOR', 'ENSG00000275443.2', 'GRM6', 'TRPM1', 'CDH8', 'NR2F2-AS1']",fig5e619nqtc
106,flat midget biploar,88418,0.8252326369,0.9739416482,1685899,1212,43119,45299,2,"['ENSG00000258751.2', 'NKAIN3']","['CCDC141', 'FEZF1-AS1', 'TACR3', 'LINC00470', 'ENSG00000258751.2', 'NKAIN3', 'DGKB', 'GRIK1', 'SLC4A7', 'NCKAP5']",jh1hrijy6ehy
107,giant bipolar,17026,0.7498018604,0.9301423027,1757963,540,9836,7190,2,"['MAP3K5', 'TRPM1']","['AGBL1', 'HS3ST4', 'EIF2AK3', 'MAP3K5', 'PCSK6', 'TRPM1', 'MCC', 'OTX2-AS1', 'PCDH11X', 'KIAA1217']",c2dzddnzwzzv
108,nGnG_3,273,0.5448275862,0.6991150442,1775222,34,194,79,3,"['MSC-AS1', 'ALCAM', 'PLD5']","['MSC-AS1', 'KCNMB1', 'KCNH8', 'SATB2', 'ALCAM', 'PLD5', 'ENSG00000271860.9', 'EBF3', 'RBM20', 'KCNIP1']",eweunrwr68qj
109,nNOS_1,1867,0.6873512722,0.8353726363,1773514,148,1116,751,2,"['GLIS3', 'NXPH1']","['NDST4', 'GBX2-AS1', 'NOS1', 'GLIS3', 'EGFLAM', 'NXPH1', 'PCDH11Y', 'NECAB1', 'ENSG00000271860.9', 'TSHZ2']",vh0uw3su6tsm
110,nNOS_2,1380,0.6679487179,0.826984127,1774040,109,859,521,3,"['PTH2R', 'IL1RAPL2', 'GALNTL6']","['CHODL', 'HTR7', 'NOS1', 'PTH2R', 'IL1RAPL2', 'GALNTL6', 'GRID1', 'CDH20', 'DCC', 'KIRREL3']",mflqm9bwpr66
111,nNOS_3,453,0.6868395773,0.9727891156,1775072,4,310,143,3,"['BCL11B', 'STXBP6', 'NKAIN3']","['BCL11B', 'ENC1', 'ENSG00000283982.1', 'LYPD6', 'STXBP6', 'NKAIN3', 'ELAVL2', 'CARMIL1', 'SV2C', 'TLL1']",v7hyjne67bu7
112,rod bipolar,61384,0.9309651142,0.9984684025,1714076,69,16402,44982,2,"['MCTP2', 'ENSG00000227681.5']","['CA8', 'ENSG00000224658.1', 'PRKCA-AS1', 'MCTP2', 'ENSG00000227681.5', 'SAMD5', 'PDZRN4', 'PRKCA', 'SDK1', 'NTNG1']",us62us5vej0s
