,clusterName,clusterSize,f_score,recall,precision,TN,FP,FN,TP,marker_count,NSForest_markers,onTarget,binary_genes,uuid
27,L5 IT_4,11373,0.4421119593,0.278,0.5186567164,72515,129,361,139,4,"['C22orf34', 'LDLRAD3', 'RORB', 'KCNK2']",0.04990389943,"['C22orf34', 'TRABD2A', 'RCSD1', 'LRRK1', 'LDLRAD3', 'MKX', 'SNCAIP', 'PCP4', 'SORCS2', 'CADPS2']",vrxewte4iepd
28,L5 IT_5,2194,0.5813953488,0.32,0.7305936073,72585,59,340,160,4,"['NPNT', 'CA10', 'RORB', 'KCNK2']",0.04070027173,"['MET', 'NPNT', 'PLD1', 'LRRK1', 'CA10', 'SNCAIP', 'PCP4', 'CADPS2', 'GREB1L', 'CDH20']",jpcjruykq4uz
29,L5 IT_6,24416,0.6619822485,0.358,0.8403755869,72610,34,321,179,3,"['NPFFR2', 'SULF2', 'RORB']",0.05394975469,"['TNNT2', 'NPFFR2', 'COBLL1', 'SULF2', 'RXFP1', 'DACH1', 'HS3ST2', 'FOXP2', 'IL1RAPL2', 'SCARA3']",7ynrb6b5cb5s
30,L5/6 NP_1,16127,0.4902597403,0.302,0.5807692308,72535,109,349,151,3,"['BARX2', 'CD36', 'NPSR1-AS1']",0.3424918652,"['CD200R1L', 'BARX2', 'CD36', 'IFNG-AS1', 'NPSR1-AS1', 'CALCRL', 'ABCC9', 'SMIM43', 'HTR2C', 'CRYM']",9r3enupyafz4
31,L5/6 NP_2,133,0.4607508532,0.2030075188,0.675,72998,13,106,27,2,"['SLC17A6', 'CRYM']",0.09239194542,"['CPA6', 'CYP26B1', 'ATOH7', 'ROBO3', 'SLC17A6', 'CRYM', 'NEFM', 'PCP4', 'MT-ND5', 'MARCKS']",htl749o9dt1l
32,L5/6 NP_3,1612,0.5273892774,0.362,0.5953947368,72521,123,319,181,3,"['NPSR1-AS1', 'PLPP3', 'KIT']",0.08081546426,"['IFNG-AS1', 'ROBO3', 'NPSR1-AS1', 'PLPP3', 'SEMA5B', 'KIT', 'HTR4', 'TSHZ2', 'CHN2', 'CUX2']",8u0h0zj58udr
33,L5/6 NP_4,651,0.7406323185,0.506,0.8377483444,72595,49,247,253,3,"['FSHR', 'CLMN', 'TLL1']",0.1092457995,"['SPATA22', 'MYOCD', 'FSHR', 'BARX2', 'CD200R1L', 'CLMN', 'HTR2C', 'SEC24D', 'MEIS2', 'CA10']",pl99oqp3da4o
34,L5/6 NP_5,1547,0.5373831776,0.276,0.7040816327,72586,58,362,138,3,"['COL9A1', 'NPSR1', 'TLL1']",0.2714403272,"['C3orf52', 'COL9A1', 'NPSR1', 'IFNG-AS1', 'GDNF-AS1', 'TLL1', 'RMST', 'SEMA5B', 'HTR2C', 'TSHZ2']",ui2amc2kaygj
35,L5/6 NP_6,509,0.7685614849,0.53,0.8660130719,72603,41,235,265,2,"['NPSR1-AS1', 'ARHGAP42']",0.1049576253,"['NPSR1-AS1', 'ATP2C2', 'SPON1', 'NWD2', 'ITGA8', 'ARHGAP42', 'CDH6', 'TSHZ2', 'GPC5', 'SPHKAP']",puk76drw9fkn
36,L6 CT_1,1503,0.665374677,0.412,0.786259542,72588,56,294,206,3,"['LGR6', 'OR1Q1', 'SULF1']",1.0,"['LGR6', 'CPZ', 'OR1Q1', 'OR1J2', 'SULF1', 'SEMA5B', 'ANO3', 'NRP1', 'HS3ST2', 'SEMA5A']",1tyke2r6k1zz
37,L6 CT_2,12217,0.791868932,0.522,0.9094076655,72618,26,239,261,3,"['SYT6', 'ITGA11', 'SEMA5B']",0.1325713098,"['CELSR1', 'NPY2R', 'VWA2', 'SYT6', 'ITGA11', 'B4GALNT3', 'SEMA3E', 'SERPINE2', 'PCP4', 'CADPS2']",bduuo2z1qre6
38,L6 CT_3,25547,0.6322674419,0.348,0.7945205479,72599,45,326,174,4,"['SULF1', 'MEIS2', 'ADAMTSL1', 'KCNH5']",0.0389386192,"['SULF1', 'SEMA3E', 'MEIS2', 'ADAMTSL1', 'CEMIP2', 'KCNH5', 'HS3ST4', 'SEMA5A', 'EGFEM1P', 'SLIT1']",5etgyixehiq8
