,external_gene_name,ensembl_gene_id,entrezgene_id
317,5_8S_rRNA,ENSG00000273730,124907227
318,5_8S_rRNA,ENSG00000273730,124907238
319,5_8S_rRNA,ENSG00000273730,124907248
320,5_8S_rRNA,ENSG00000273730,124907258
321,5_8S_rRNA,ENSG00000273730,124907269
322,5_8S_rRNA,ENSG00000273730,124907280
323,5_8S_rRNA,ENSG00000273730,124907291
324,5_8S_rRNA,ENSG00000273730,124907302
325,5_8S_rRNA,ENSG00000273730,124907313
326,5_8S_rRNA,ENSG00000273730,124907324
327,5_8S_rRNA,ENSG00000273730,124907327
328,5_8S_rRNA,ENSG00000273730,124907328
329,5_8S_rRNA,ENSG00000273730,124907329
330,5_8S_rRNA,ENSG00000273730,124907330
331,5_8S_rRNA,ENSG00000273730,124907331
332,5_8S_rRNA,ENSG00000273730,124907332
333,5_8S_rRNA,ENSG00000273730,124907333
334,5_8S_rRNA,ENSG00000273730,124907334
335,5_8S_rRNA,ENSG00000273730,124907335
336,5_8S_rRNA,ENSG00000273730,124907336
337,5_8S_rRNA,ENSG00000273730,124907337
338,5_8S_rRNA,ENSG00000273730,124907338
339,5_8S_rRNA,ENSG00000273730,124907339
340,5_8S_rRNA,ENSG00000273730,124907340
341,5_8S_rRNA,ENSG00000273730,124907341
342,5_8S_rRNA,ENSG00000273730,124907342
343,5_8S_rRNA,ENSG00000273730,124907343
344,5_8S_rRNA,ENSG00000273730,124907439
345,5_8S_rRNA,ENSG00000273730,124907440
346,5_8S_rRNA,ENSG00000273730,124907450
347,5_8S_rRNA,ENSG00000273730,124907458
348,5_8S_rRNA,ENSG00000273730,124907467
349,5_8S_rRNA,ENSG00000273730,124907475
350,5_8S_rRNA,ENSG00000273730,124907476
351,5_8S_rRNA,ENSG00000273730,124907477
352,5_8S_rRNA,ENSG00000273730,124907478
353,5_8S_rRNA,ENSG00000273730,124907479
354,5_8S_rRNA,ENSG00000273730,124907480
355,5_8S_rRNA,ENSG00000273730,124907481
356,5_8S_rRNA,ENSG00000273730,124907482
357,5_8S_rRNA,ENSG00000273730,124907483
358,5_8S_rRNA,ENSG00000273730,124907484
359,5_8S_rRNA,ENSG00000273730,124907572
360,5_8S_rRNA,ENSG00000273730,124907573
361,5_8S_rRNA,ENSG00000273730,124907574
362,5_8S_rRNA,ENSG00000273730,124907575
363,5_8S_rRNA,ENSG00000273730,124907576
364,5_8S_rRNA,ENSG00000273730,124907577
365,5_8S_rRNA,ENSG00000273730,124907578
366,5_8S_rRNA,ENSG00000273730,124907579
367,5_8S_rRNA,ENSG00000273730,124907580
368,5_8S_rRNA,ENSG00000273730,124907581
369,5_8S_rRNA,ENSG00000273730,124907584
370,5_8S_rRNA,ENSG00000273730,124907585
371,5_8S_rRNA,ENSG00000273730,124907586
372,5_8S_rRNA,ENSG00000273730,124907587
373,5_8S_rRNA,ENSG00000273730,124907588
374,5_8S_rRNA,ENSG00000273730,124907589
375,5_8S_rRNA,ENSG00000273730,124907590
376,5_8S_rRNA,ENSG00000273730,124907591
377,5_8S_rRNA,ENSG00000273730,124907592
378,5_8S_rRNA,ENSG00000273730,124907593
379,5_8S_rRNA,ENSG00000273730,124907594
380,5_8S_rRNA,ENSG00000273730,124907595
381,5_8S_rRNA,ENSG00000273730,124907596
382,5_8S_rRNA,ENSG00000273730,124907597
383,5_8S_rRNA,ENSG00000273730,124907598
384,5_8S_rRNA,ENSG00000273730,124907600
385,5_8S_rRNA,ENSG00000273730,124907611
386,5_8S_rRNA,ENSG00000273730,124907622
387,5_8S_rRNA,ENSG00000273730,124907633
388,5_8S_rRNA,ENSG00000273730,124907644
389,5_8S_rRNA,ENSG00000273730,124907655
390,5_8S_rRNA,ENSG00000273730,124907662
391,5_8S_rRNA,ENSG00000273730,124907673
392,5_8S_rRNA,ENSG00000273730,124907684
393,5_8S_rRNA,ENSG00000273730,124907694
394,5_8S_rRNA,ENSG00000273730,124907705
395,5_8S_rRNA,ENSG00000273730,124907709
396,5_8S_rRNA,ENSG00000273730,124907710
397,5_8S_rRNA,ENSG00000273730,124907711
398,5_8S_rRNA,ENSG00000273730,124907712
399,5_8S_rRNA,ENSG00000273730,124907713
400,5_8S_rRNA,ENSG00000273730,124907714
401,5_8S_rRNA,ENSG00000273730,124907715
402,5_8S_rRNA,ENSG00000273730,124907716
403,5_8S_rRNA,ENSG00000273730,124907717
404,5_8S_rRNA,ENSG00000273730,124907718
405,5_8S_rRNA,ENSG00000273730,124907719
406,5_8S_rRNA,ENSG00000273730,124907720
407,5_8S_rRNA,ENSG00000273730,124907721
408,5_8S_rRNA,ENSG00000273730,124908237
409,5_8S_rRNA,ENSG00000273730,124908238
410,5_8S_rRNA,ENSG00000273730,124908239
411,5_8S_rRNA,ENSG00000273730,124908240
412,5_8S_rRNA,ENSG00000273730,124908241
413,5_8S_rRNA,ENSG00000273730,124908242
414,5_8S_rRNA,ENSG00000273730,124908243
415,5_8S_rRNA,ENSG00000273730,124908244
416,5_8S_rRNA,ENSG00000273730,124908245
417,5_8S_rRNA,ENSG00000273730,124908246
418,5_8S_rRNA,ENSG00000273730,124908247
419,5_8S_rRNA,ENSG00000273730,124908248
420,5_8S_rRNA,ENSG00000273730,124908249
421,5_8S_rRNA,ENSG00000273730,124908257
422,5_8S_rRNA,ENSG00000273730,124908268
423,5_8S_rRNA,ENSG00000273730,124908278
424,5_8S_rRNA,ENSG00000273730,124908289
425,5_8S_rRNA,ENSG00000273730,124908300
426,5_8S_rRNA,ENSG00000273730,124908310
427,5_8S_rRNA,ENSG00000273730,124908316
428,5_8S_rRNA,ENSG00000273730,124908327
429,5_8S_rRNA,ENSG00000273730,124908336
430,5_8S_rRNA,ENSG00000273730,124908347
431,5_8S_rRNA,ENSG00000273730,124908358
432,5_8S_rRNA,ENSG00000273730,124908368
433,5_8S_rRNA,ENSG00000273730,124908369
434,5_8S_rRNA,ENSG00000273730,124908370
435,5_8S_rRNA,ENSG00000273730,124908371
436,5_8S_rRNA,ENSG00000273730,124908372
437,5_8S_rRNA,ENSG00000273730,124908373
438,5_8S_rRNA,ENSG00000273730,124908374
439,5_8S_rRNA,ENSG00000273730,124908375
440,5_8S_rRNA,ENSG00000273730,124908376
441,5_8S_rRNA,ENSG00000273730,124908377
442,5_8S_rRNA,ENSG00000273730,124908378
443,5_8S_rRNA,ENSG00000273730,124908379
444,5_8S_rRNA,ENSG00000273730,124908380
